,rw,sent,区,单元号,小区名,市,建筑物名称,户室号,村居委会,栋号,楼号,楼层,省,社区,组团名称,自然村组,街路巷名,门牌号
159,0,-景怡东苑1-4-201--,,,,,,201,,,,,,,,,,1
160,0,-花果园项目S区7-2-2207--,,,,,,2207,,,,,,,,,花果园,7
161,0,-金阳上寨村拆迁安置房D7-2-6-2号--,,,,,,2号,上寨村,,,,,,,,,2
162,0,-花果园R1区8栋2-702--,,,,,,702,,8栋,,,,,1区,,花果园,2
163,0,-花果园项目v区2-1-4207--,,,,,,4207,,,,,,,,,花果园,2
164,0,-栖霞小区1-1-8-2--,,,栖霞小区,,,,,,,,,,,,,1
165,0,-颐和花园天和苑1单元1101--,,1单元,颐和花园,,,,,,,,,,,,,1101
166,0,-蓑草路77号25栋1单元-7--,,1单元,,,,77号,,25栋,,,,,,,蓑草路,7
167,0,-观山湖区观府壹号二组团3栋1-22-3号--,观山湖区,,观府壹号,,,3号,,3栋,,,,,二组团,,,1
168,0,-国际城H4组团1号楼2701--,,,国际城,,,,,1号楼,,,,,H4组团,,,2701
169,0,-长岭北路中天会展城A10-3-2002号--,,,中天会展城,,,2002号,,,,,,,,,长岭北路,10
170,0,-花果园项目V区1-3-3801--,,,,,,3801,,,,,,,,,花果园,1
171,0,-观府壹号二组团9栋1-20-4--,,,观府壹号,,,,,9栋,,,,,二组团,,,1
172,0,-富源路棚户区B区11-6-1--,,,,,,,,,,,,,B区,,富源路,11
173,0,-优山美诗22栋2-8-1号--,,,优山美诗,,,1号,,22栋,,,,,,,,2
174,0,-花果园X区6-1-2801--,,,花果园X区,,,2801,,,,,,,,,,6
175,0,-小河浦江路-紫竹苑-5-3-4-3--,,,紫竹苑,,,,,,,,,,,,河浦江路,5
176,0,-上板幸福小区8-8-4--,,,幸福小区,,,,,,,,,,,,,8
177,0,-贵信花园58号3-3-2--,,,贵信花园,,,58号,,,,,,,,,,3
178,0,-观山湖区观府壹号二组团3栋1-19-2号--,观山湖区,,观府壹号,,,2号,,3栋,,,,,二组团,,,1
179,0,-宝山南路312号乙栋3-7--,,,,,,312号,,乙栋,,,,,,,宝山南路,3
180,0,-花溪大道北段368号A栋3-8-3--,,,,,,368号,,A栋,,,,,,,花溪大道北段,3
181,0,-保利溪湖36-1--,,,,,,,,,,,,,,,,36
182,0,-花果园一期12栋2-2003--,,,,,,2003,,12栋,,,,,一期,,花果园,2
183,0,-未来方舟F7组团1栋1单元26-27--,,1单元,未来方舟,,,,,1栋,,,,,F7组团,,,26
184,0,-南明区电建巷33号1-1-1号--,南明区,,,,,1号,,,,,,,,,电建巷,33号
185,0,-花果园T2区4-1-3401--,,,,,,3401,,,,,,,2区,,花果园,4
186,0,-南明区青云路1号2-8-3号--,南明区,,,,,3号,,,,,,,,,青云路,1号
187,0,-金阳新区西南路碧波巷1-1-2-2--,金阳新区,,,,,,,,,,,,,,,1
188,0,-云谭南路B31-3--,,,,,,,,,,,,,,,云谭南路,31
189,0,-飞山横街3号-原19号-2-22--,,,,,,19号,,,,,,,,,飞山横街,3号
190,0,-花果园L1区6栋3-303--,,,,,,303,,6栋,,,,,1区,,花果园,3
191,0,-宝安小区B4栋-2-8-2--,,,宝安小区,,,,,B4栋,,,,,,,,2
192,0,-花果园一期15栋3510--,,,,,,,,15栋,,,,,一期,,花果园,3510
193,0,-青山小区9栋3单元9-5--,,3单元,青山小区,,,,,9栋,,,,,,,,9
194,0,-东山路支路渔安新城D组团D4栋1-1703--,,,渔安新城,,,1703,,D4栋,,,,,D组团,,东山路,1
195,0,-清水江路71号三江小区4-2-8--,,,三江小区,,,71号,,,,,,,,,清水江路,4
